departure_region,arrival_region,p2plt_non_air,id_route
CN,US,39,CNUS
CN,EU,42,CNEU
CN,UK,34,CNUK
CN,Asia,23,CNAsia
IN,US,45,INUS
IN,EU,33,INEU
IN,UK,26,INUK
EU,US,40,EUUS
UK,US,36,UKUS
US,UK,52,USUK
US,EU,20,USEU
CN,MX,39,CNMX
CN,CO,39,CNCO
CN,BR,39,CNBR
CN,CA,39,CNCA
US,MX,15,USMX
US,CO,15,USCO
US,BR,15,USBR
US,CA,15,USCA
EU,MX,40,EUMX
EU,CO,40,EUCO
EU,BR,40,EUBR
EU,CA,40,EUCA
EU,UK,20,EUUK
MX,US,15,MXUS
CO,US,15,COUS
BR,US,15,BRUS
MX,CA,15,MXCA
CA,MX,15,CAMX
MX,EU,40,MXEU
IN,CA,45,INCA
MX,BR,15,MXBR
IN,MX,45,INMX
MX,UK,52,MXUK
MX,CO,30,MXCO
BR,EU,40,BREU
BR,UK,52,BRUK
UK,CA,36,UKCA
EU,Other,45,EUOther
CN,AU,23,CNAU
CN,Other,40,CNOther
US,AU,40,USAU
CN,CN,6,CNCN
US,US,6,USUS
AU,AU,6,AUAU
Other,Other,7,OtherOther
EU,EU,7,EUEU
UK,UK,2,UKUK
BR,BR,2,BRBR
MX,MX,2,MXMX
CO,CO,2,COCO
IN,IN,2,ININ
CA,CA,2,CACA
CN,JP,10,CNJP
UK,CO,39,UKCO
CA,US,10,CAUS
IN,AU,20,INAU
JP,US,39,JPUS
CA,CO,20,CACO
CA,BR,20,CABR
UK,EU,7,UKEU
